Citing_Pmid	Ref_Pmid	Citing_Pubyear	Ref_Pubyear	MeSH_cos_sim	Year_Diff	MeSH_cos_dist	Diffusion_Z_MeSH
17981145	11015443	2008.0	2000.0	0.66118824	8.0	0.33881176	0.0214633457055681
18585785	11015443	2008.0	2000.0	0.7968217	8.0	0.2031783	-1.0296067622982814
18759925	11015443	2008.0	2000.0	0.7262869	8.0	0.2737131	-0.4830084534884202
18448390	11015443	2008.0	2000.0	0.6147934	8.0	0.3852065999999999	0.3809928415218753
18759926	11015443	2008.0	2000.0	0.75822276	8.0	0.24177724	-0.7304903640685666
18201932	11015443	2008.0	2000.0	0.46811873	8.0	0.53188127	1.5176250651511258
18607390	11015443	2008.0	2000.0	0.68590766	8.0	0.3140923399999999	-0.1700959011734288
18452109	11015443	2008.0	2000.0	0.4412141	8.0	0.5587859	1.7261182523034966
17975811	11015443	2008.0	2000.0	0.7402309	8.0	0.2597691	-0.5910652824302297
18813109	11015443	2008.0	2000.0	0.7441532	8.0	0.2558468	-0.6214605277083743
18453600	11015443	2008.0	2000.0	0.6180589	8.0	0.3819411	0.3556873642621601
18593946	11015443	2008.0	2000.0	0.67198193	8.0	0.32801807	-0.0621806527153232
18599457	11015443	2008.0	2000.0	0.74827236	8.0	0.25172764	-0.6533813085104356
18005363	11015443	2008.0	2000.0	0.6979944	8.0	0.3020056	-0.263760186647046
18836470	11015443	2008.0	2000.0	0.6312003	8.0	0.3687996999999999	0.2538501574451853
18472048	11015443	2008.0	2000.0	0.54938155	8.0	0.45061845	0.8878916572287935
18825752	11015443	2008.0	2000.0	0.7633385	8.0	0.2366614999999999	-0.7701339844135733
18981091	11015443	2008.0	2000.0	0.7274453	8.0	0.2725547	-0.4919852916013141
18799583	11015443	2008.0	2000.0	0.6427467	8.0	0.3572533	0.1643731515864864
18549878	11015443	2008.0	2000.0	0.6597159	8.0	0.3402841	0.0328730123381111
18550794	11015443	2008.0	2000.0	0.7163999	8.0	0.2836001	-0.4063907062317032
19058313	11015443	2008.0	2000.0	0.72357154	8.0	0.27642846	-0.4619661993981001
18546634	11015443	2008.0	2000.0	0.6314241	8.0	0.3685758999999999	0.25211585463988
18549325	11015443	2008.0	2000.0	0.62313175	8.0	0.37686825	0.3163761132081256
18986838	11015443	2008.0	2000.0	0.81186795	8.0	0.18813205	-1.1462053037831994
18483370	11015443	2008.0	2000.0	0.5334028	8.0	0.4665972	1.0117164604024835
18037500	11015443	2008.0	2000.0	0.6815461	8.0	0.3184538999999999	-0.1362966797994017
17989360	11015443	2008.0	2000.0	0.7285842	8.0	0.2714158	-0.5008110175394833
18537273	11015443	2008.0	2000.0	0.30924734	8.0	0.69075266	2.748773846919443
18578969	11015443	2008.0	2000.0	0.60926807	8.0	0.3907319299999999	0.4238105149769129
18345967	11015443	2008.0	2000.0	0.5353682	8.0	0.4646318	0.9964859030586632
18566376	11015443	2008.0	2000.0	0.7631573	8.0	0.2368426999999999	-0.768729803589975
18537522	11015443	2008.0	2000.0	0.551165	8.0	0.448835	0.8740710927152916
17920123	11015443	2008.0	2000.0	0.6055257	8.0	0.3944743	0.4528114210961734
18620519	11015443	2008.0	2000.0	0.46590477	8.0	0.5340952299999999	1.5347817990154404
18925909	11015443	2008.0	2000.0	0.68010795	8.0	0.31989205	-0.1251519631798761
18268348	11015443	2008.0	2000.0	0.7141016	8.0	0.2858984	-0.3885803928383471
19050238	11015443	2008.0	2000.0	0.61641437	8.0	0.38358563	0.3684313901442363
18631863	11015443	2008.0	2000.0	0.49270993	8.0	0.50729007	1.3270594389410135
18322304	11015443	2008.0	2000.0	0.63417006	8.0	0.36582994	0.2308364706753761
17942524	11015443	2008.0	2000.0	0.59581894	8.0	0.40418106	0.5280324268978935
18833008	11015443	2008.0	2000.0	0.64867944	8.0	0.35132056	0.1183983185876176
18500231	11015443	2008.0	2000.0	0.796442	8.0	0.203558	-1.0266643370294055
18250483	11015443	2008.0	2000.0	0.6843038	8.0	0.3156962	-0.1576670410424326
18716931	11015443	2008.0	2000.0	0.64556026	8.0	0.35443974	0.1425699120829354
18410915	11015443	2008.0	2000.0	0.44388476	8.0	0.55611524	1.7054223938137
18929358	11015443	2008.0	2000.0	0.5472923	8.0	0.4527077	0.9040819706156752
18223165	11015443	2008.0	2000.0	0.7358336	8.0	0.2641664	-0.5569890995626291
18650228	11015443	2008.0	2000.0	0.6482297	8.0	0.3517703	0.1218835077907363
18420489	11015443	2008.0	2000.0	0.66596663	8.0	0.33403337	-0.015566034016696
18294387	11015443	2008.0	2000.0	0.68265325	8.0	0.31734675	-0.1448763641197486
18292520	11015443	2008.0	2000.0	0.7766213	8.0	0.2233787	-0.8730669482308604
18301333	11015443	2008.0	2000.0	0.6517594	8.0	0.3482406	0.0945306542970544
18417030	11015443	2008.0	2000.0	0.5908362	8.0	0.4091637999999999	0.5666453847178524
18296654	11015443	2008.0	2000.0	0.72935474	8.0	0.27064526	-0.5067821957503855
19077895	11015443	2008.0	2000.0	0.570122	8.0	0.429878	0.7271668108557195
18280607	11015443	2008.0	2000.0	0.6114989	8.0	0.3885011	0.4065230497081058
18287011	11015443	2008.0	2000.0	0.7882671	8.0	0.2117329	-0.9633142387135428
18641123	11015443	2008.0	2000.0	0.795084	8.0	0.204916	-1.0161407301947116
18777630	11015443	2008.0	2000.0	0.57170206	8.0	0.42829794	0.714922385071311
18421793	11015443	2008.0	2000.0	0.7178809	8.0	0.2821190999999999	-0.4178674821685094
18662368	11015443	2008.0	2000.0	0.78945404	8.0	0.21054596	-0.9725122430554952
23635778	11015443	2013.0	2000.0	0.6127512	13.0	0.3872487999999999	0.2607653588062139
23625198	11015443	2013.0	2000.0	0.58137274	13.0	0.4186272599999999	0.4948732629133371
23624239	11015443	2013.0	2000.0	0.551896	13.0	0.4481039999999999	0.7147928453692833
23633486	11015443	2013.0	2000.0	0.6260796	13.0	0.3739204	0.1613250488260121
23608444	11015443	2013.0	2000.0	0.6859518	13.0	0.3140482	-0.2853684873221137
23593203	11015443	2013.0	2000.0	0.6054977	13.0	0.3945023	0.3148821536534124
23555047	11015443	2013.0	2000.0	0.5736559	13.0	0.4263441	0.5524469372979318
23553748	11015443	2013.0	2000.0	0.5155157	13.0	0.4844843	0.9862183960109778
23561470	11015443	2013.0	2000.0	0.688032	13.0	0.311968	-0.3008884096549379
23545706	11015443	2013.0	2000.0	0.63336927	13.0	0.36663073	0.1069383974309921
24416729	11015443	2013.0	2000.0	0.51290965	13.0	0.48709035	1.005661571472692
23087177	11015443	2013.0	2000.0	0.6750657	13.0	0.3249343	-0.2041496494664458
23530125	11015443	2013.0	2000.0	0.7182822	13.0	0.2817178	-0.526578609901263
23582509	11015443	2013.0	2000.0	0.7509308	13.0	0.2490692	-0.770162753866003
23589618	11015443	2013.0	2000.0	0.7036584	13.0	0.2963416	-0.41747360066621
23587922	11015443	2013.0	2000.0	0.68816084	13.0	0.31183916	-0.3018496570318062
23585913	11015443	2013.0	2000.0	0.6159911	13.0	0.3840089	0.2365931655718531
23070399	11015443	2013.0	2000.0	0.63688743	13.0	0.3631125699999999	0.0806901665135561
24270346	11015443	2013.0	2000.0	0.59119225	13.0	0.40880775	0.4216120223853151
23737812	11015443	2013.0	2000.0	0.5839221	13.0	0.4160779	0.4758530392817592
23723978	11015443	2013.0	2000.0	0.3615676	13.0	0.6384324	2.134791877063708
23716685	11015443	2013.0	2000.0	0.76483536	13.0	0.23516464	-0.8739016690049783
23726846	11015443	2013.0	2000.0	0.56095576	13.0	0.43904424	0.647199935286585
23725878	11015443	2013.0	2000.0	0.5748128	13.0	0.4251872	0.5438155565908629
23782245	11015443	2013.0	2000.0	0.6768018	13.0	0.3231982	-0.2171023161148531
23792703	11015443	2013.0	2000.0	0.65886074	13.0	0.34113926	-0.083247947415428
23787776	11015443	2013.0	2000.0	0.53257096	13.0	0.4674290399999999	0.8589727895471151
22996354	11015443	2013.0	2000.0	0.5626394	13.0	0.4373606	0.6346386613530997
23766529	11015443	2013.0	2000.0	0.504571	13.0	0.495429	1.0678744357937218
23772628	11015443	2013.0	2000.0	0.5434599	13.0	0.4565401	0.7777327630656303
23667165	11015443	2013.0	2000.0	0.6186794	13.0	0.3813206	0.2165363406476479
23668362	11015443	2013.0	2000.0	0.5192448	13.0	0.4807552	0.958396387371744
23651187	11015443	2013.0	2000.0	0.5622495	13.0	0.4377505	0.6375476209327405
23648271	11015443	2013.0	2000.0	0.57841015	13.0	0.42158985	0.516976506209176
23701127	11015443	2013.0	2000.0	0.5518482	13.0	0.4481518	0.7151494708319839
23677693	11015443	2013.0	2000.0	0.4276833	13.0	0.5723167	1.641516937644267
23674495	11015443	2013.0	2000.0	0.5555928	13.0	0.4444072	0.6872118200448027
23687092	11015443	2013.0	2000.0	0.50575244	13.0	0.49424756	1.0590599674537104
23683941	11015443	2013.0	2000.0	0.5727664	13.0	0.4272336	0.5590833044333261
23169063	11015443	2013.0	2000.0	0.69373053	13.0	0.30626947	-0.3434039096122832
23325679	11015443	2013.0	2000.0	0.65463734	13.0	0.34536266	-0.0517380733742539
23307186	11015443	2013.0	2000.0	0.3583453	13.0	0.6416547	2.1588327605042714
23306863	11015443	2013.0	2000.0	0.61235666	13.0	0.38764334	0.2637089364224014
23363265	11015443	2013.0	2000.0	0.4247317	13.0	0.5752683000000001	1.6635381869268195
23362870	11015443	2013.0	2000.0	0.33373755	13.0	0.6662624500000001	2.342425861545306
23149662	11015443	2013.0	2000.0	0.6021978	13.0	0.3978022	0.3395019939120835
23370250	11015443	2013.0	2000.0	0.64523405	13.0	0.35476595	0.0184178397461306
23340297	11015443	2013.0	2000.0	0.49480674	13.0	0.50519326	1.1407234680201923
23223433	11015443	2013.0	2000.0	0.5954849	13.0	0.4045151	0.3895854890702497
23190531	11015443	2013.0	2000.0	0.6540092	13.0	0.3459908	-0.0470516566767535
23247726	11015443	2013.0	2000.0	0.70764184	13.0	0.29235816	-0.4471931850414938
23263823	11015443	2013.0	2000.0	0.49818727	13.0	0.5018127299999999	1.1155020647686855
23478000	11015443	2013.0	2000.0	0.5709864	13.0	0.4290136	0.5723634994878533
23113638	11015443	2013.0	2000.0	0.66362	13.0	0.33638	-0.1187557570307144
23444404	11015443	2013.0	2000.0	0.7033375	13.0	0.2966625	-0.4150794351645254
23461413	11015443	2013.0	2000.0	0.6639503	13.0	0.3360497	-0.1212200538995404
23460531	11015443	2013.0	2000.0	0.6301088	13.0	0.3698912	0.1312640589868537
23458521	11015443	2013.0	2000.0	0.48794416	13.0	0.5120558399999999	1.1919236932883364
23521696	11015443	2013.0	2000.0	0.5464222	13.0	0.4535778	0.7556316833970766
23519772	11015443	2013.0	2000.0	0.54194	13.0	0.45806	0.7890724082697742
23516145	11015443	2013.0	2000.0	0.57264364	13.0	0.42735636	0.5599991902450642
23095323	11015443	2013.0	2000.0	0.49386862	13.0	0.50613138	1.1477225784609526
23504304	11015443	2013.0	2000.0	0.40551233	13.0	0.59448767	1.806929750087004
23401435	11015443	2013.0	2000.0	0.5841748	13.0	0.4158252	0.4739676992310407
23408545	11015443	2013.0	2000.0	0.5593289	13.0	0.4406711	0.6593375859193986
23405902	11015443	2013.0	2000.0	0.6430995	13.0	0.3569004999999999	0.0343432556751421
23143979	11015443	2013.0	2000.0	0.46597648	13.0	0.53402352	1.3558198030048738
23381914	11015443	2013.0	2000.0	0.666733	13.0	0.333267	-0.1419811768086602
23417675	11015443	2013.0	2000.0	0.77162385	13.0	0.22837615	-0.9245491248059378
23411785	11015443	2013.0	2000.0	0.5920848	13.0	0.4079152	0.4149528998595184
23421934	11015443	2013.0	2000.0	0.5643304	13.0	0.4356696	0.6220224760512988
23129549	11015443	2013.0	2000.0	0.62909937	13.0	0.3709006299999999	0.138795197916006
23933888	11015443	2013.0	2000.0	0.5505087	13.0	0.4494913	0.7251431906497029
23970300	11015443	2013.0	2000.0	0.5801137	13.0	0.4198863	0.504266688071457
23924497	11015443	2013.0	2000.0	0.5120478	13.0	0.4879521999999999	1.0120916479377162
24036152	11015443	2013.0	2000.0	0.73611367	13.0	0.2638863299999999	-0.6596153513107861
23966393	11015443	2013.0	2000.0	0.51664126	13.0	0.48335874	0.9778208362662738
24043779	11015443	2013.0	2000.0	0.5960168	13.0	0.4039832	0.3856170981997422
24045115	11015443	2013.0	2000.0	0.6028492	13.0	0.3971508	0.3346420393848258
24039998	11015443	2013.0	2000.0	0.80090594	13.0	0.1990940599999999	-1.1430164657071855
23888327	11015443	2013.0	2000.0	0.56139827	13.0	0.43860173	0.6438984638744625
23890061	11015443	2013.0	2000.0	0.65191364	13.0	0.34808636	-0.0314171367057057
24030385	11015443	2013.0	2000.0	0.5924721	13.0	0.4075279	0.4120633383175981
24026080	11015443	2013.0	2000.0	0.6486245	13.0	0.3513754999999999	-0.0068775744800617
24028656	11015443	2013.0	2000.0	0.6786231	13.0	0.3213768999999999	-0.2306906415377805
22828443	11015443	2013.0	2000.0	0.5896376	13.0	0.4103624	0.4332109298243716
24015224	11015443	2013.0	2000.0	0.57595867	13.0	0.42404133	0.5352664683284297
23918986	11015443	2013.0	2000.0	0.59103507	13.0	0.40896493	0.4227847083733321
