Citing_Pmid	Ref_Pmid	Citing_Pubyear	Ref_Pubyear	AID_cos_sim	Year_Diff	AID_cos_dist	Diffusion_Z_value
18223165	11015443	2008.0	2000.0	0.6772959	8.0	0.3227041	-0.5317084891555734
18650228	11015443	2008.0	2000.0	0.5842793	8.0	0.4157207	-0.0300417905277571
18420489	11015443	2008.0	2000.0	0.3536367	8.0	0.6463633	1.2138836131629382
18294387	11015443	2008.0	2000.0	0.48859212	8.0	0.5114078799999999	0.4860281549616022
18292520	11015443	2008.0	2000.0	0.70691895	8.0	0.2930810499999999	-0.6914745706591628
18301333	11015443	2008.0	2000.0	0.5895838	8.0	0.4104162	-0.0586505657664916
18417030	11015443	2008.0	2000.0	0.58951014	8.0	0.41048986	-0.0582532950747988
18296654	11015443	2008.0	2000.0	0.53406924	8.0	0.46593076	0.2407562717332214
19077895	11015443	2008.0	2000.0	0.5058525	8.0	0.4941474999999999	0.3929376974340042
18280607	11015443	2008.0	2000.0	0.41164982	8.0	0.58835018	0.9010012847667234
18287011	11015443	2008.0	2000.0	0.7599878	8.0	0.2400122	-0.977690953320696
18641123	11015443	2008.0	2000.0	0.63738465	8.0	0.36261535	-0.3164550287451799
18777630	11015443	2008.0	2000.0	0.5703596	8.0	0.4296404	0.045031367864289
18421793	11015443	2008.0	2000.0	0.603946	8.0	0.396054	-0.1361102606922621
18662368	11015443	2008.0	2000.0	0.59940094	8.0	0.40059906	-0.1115973754087177
23635778	11015443	2013.0	2000.0	0.49689418	13.0	0.50310582	0.482095695385496
23625198	11015443	2013.0	2000.0	0.7168776	13.0	0.2831224	-0.9823027100765276
23624239	11015443	2013.0	2000.0	0.49344078	13.0	0.50655922	0.5050844890565029
23633486	11015443	2013.0	2000.0	0.57188094	13.0	0.42811906	-0.0170805233257299
23608444	11015443	2013.0	2000.0	0.6601468	13.0	0.3398531999999999	-0.6046538260807023
23593203	11015443	2013.0	2000.0	0.55967605	13.0	0.44032395	0.0641656972068875
23555047	11015443	2013.0	2000.0	0.7025628	13.0	0.2974371999999999	-0.8870111181260627
23553748	11015443	2013.0	2000.0	0.6080439	13.0	0.3919561	-0.2578122155632035
23561470	11015443	2013.0	2000.0	0.61751056	13.0	0.3824894399999999	-0.3208304276132354
23545706	11015443	2013.0	2000.0	0.8008296	13.0	0.1991703999999999	-1.541159259062573
24416729	11015443	2013.0	2000.0	0.50607795	13.0	0.49392205	0.4209606419158754
23087177	11015443	2013.0	2000.0	0.62633866	13.0	0.3736613399999999	-0.3795978363718559
